                      Connections For: Control Console.asm
Wire ID       	From          	From          	To Component  	To Component  	Cable ID      	Wire Diameter 	Cut Length    	
              	Component ID  	Component     	ID            	Terminal      	              	              	              	
              	              	Terminal      	              	              	              	              	              	
Wire 7        	319           	Common        	481           	3             	              	2.12 mm       	376.64 mm     	
Wire 8        	319           	Closed        	481           	1             	              	2.12 mm       	375.42 mm     	
Wire 6        	319           	Open          	370           	e             	              	2.12 mm       	33.68 mm      	
Wire 4        	370           	e             	481           	7             	              	2.12 mm       	336.96 mm     	
Wire 5        	370           	d             	481           	4             	              	2.12 mm       	336.00 mm     	
Wire 18:Wire  	421           	Common        	1204          	1             	Cable 1       	2.12 mm       	403.70 mm     	
71            	              	              	              	              	              	              	              	
Wire 19:Wire  	295           	positive      	1204          	2             	Cable 1       	2.12 mm       	347.28 mm     	
72            	              	              	              	              	              	              	              	
Wire 17:Wire  	370           	c             	1204          	4             	Cable 1       	2.12 mm       	383.75 mm     	
70            	              	              	              	              	              	              	              	
Wire 9        	319           	Open          	481           	8             	              	2.12 mm       	385.97 mm     	
Wire 16       	1204          	3             	319           	Common        	Cable 1       	2.12 mm       	380.48 mm     	
Wire 3        	370           	b             	481           	2             	              	2.12 mm       	338.79 mm     	
Wire 10       	295           	positive      	481           	9             	              	2.12 mm       	361.48 mm     	
Wire 11       	295           	negative      	481           	5             	              	2.12 mm       	359.86 mm     	
Wire 1        	370           	c             	481           	11            	              	2.12 mm       	337.70 mm     	
Bundle 4      	              	              	              	              	Bundle 4      	0.00 mm       	193.62 mm     	
              	              	              	              	              	Cable 1       	6.58 mm       	408.70 mm     	
Wire 19       	421           	Common        	481           	10            	              	2.12 mm       	344.90 mm     	
Wire 2        	370           	a             	481           	6             	              	2.12 mm       	338.09 mm     	
Wire 18       	421           	Open          	481           	14            	              	2.12 mm       	344.78 mm     	
Wire 12       	295           	signal        	481           	13            	              	2.12 mm       	341.63 mm     	
Wire 17       	421           	Closed        	481           	12            	              	2.12 mm       	346.40 mm     	
