\\ Solid Edge Holes.txt file.
\\ The location of this file is set by Tools | Options, File Locations.
\\ For example: c:\Program Files\Solid Edgev19\Program\Holes.txt
\\ You can add, edit, or remove entries from this file. If you edit this file, you should
\\ backup the file before uninstalling Solid Edge.

\\ This file is intended to be used with systems that have a period “.” delimiter for
\\ the decimal place

\\ Localization requirements are that only comments are to be localized.
\\ The separator between various fields must be a semi colon ";"
\\ All lines starting with "\\" are ignored

\\ This file contains both Inch and Metric thread types which are listed in separate
\\ sections that start and end all of the following fields with:
\\ “BeginInch” and “EndInch” for inch based threads and
\\ “BeginMetric” and “EndMetric” for metric based threads and

\\ The fields in this file are:
\\ nominal diameter
\\ internal minor diameter
\\ external minor diameter
\\ thread type
\\ thread family

\\ For the hole feature:
\\ The nominal diameter is listed in the UI and is used for size selection, 
\\ but a hole equal to the internal minor diameter is created

\\ For the Thread feature:
\\ For internal threads (holes) the hole must be modeled to the internal minor diameter
\\ For external threads (shafts) the cylinder must be modeled to the nominal diameter

\\ The thread family is used to classify similar threads to allow automatic thread
\\ sizing when the underlying diameter changes. Solid Edge will maintain the thread
\\ family, but will search for the appropriate diameter to match the model.

\\ Beginning of inch sizes
BeginInch 
0.021; 0.0175; 0.0154;  #0000-160; MINEATURE_STD
0.034; 0.0293; 0.0279;  #000-120; MINEATURE_STD
0.047; 0.0406; 0.039;  #00-90; MINEATURE_STD
0.047; 0.041; 0.0394;  #00-96; MINEATURE_FINE
0.06; 0.0465; 0.0447;  #0-80 UNF; UNF
0.073; 0.0561; 0.0538;  #1-64 UNC; UNC
0.073; 0.058; 0.056;  #1-72 UNF; UNF
0.086; 0.0667; 0.0641;  #2-56 UNC; UNC
0.086; 0.0691; 0.0668;  #2-64 UNF; UNF
0.099; 0.0764; 0.0734;  #3-48 UNC; UNC
0.099; 0.0797; 0.0771;  #3-56 UNF; UNF
0.112; 0.0849; 0.0813;  #4-40 UNC; UNC
0.112; 0.0894; 0.0864;  #4-48 UNF; UNF
0.125; 0.0979; 0.0943;  #5-40 UNC; UNC
0.125; 0.1004; 0.0971;  #5-44 UNF; UNF
0.138; 0.1042; 0.0997;  #6-32 UNC; UNC
0.138; 0.1109; 0.1073;  #6-40 UNF; UNF
0.164; 0.1302; 0.1257;  #8-32 UNC; UNC
0.164; 0.1339; 0.1299;  #8-36 UNF; UNF
0.19; 0.1449; 0.1389;  #10-24 UNC; UNC
0.19; 0.1562; 0.1517;  #10-32 UNF; UNF
0.216; 0.1709; 0.1649;  #12-24 UNC; UNC
0.216; 0.1773; 0.1722;  #12-28 UNF; UNF
0.216; 0.1822; 0.1777;  #12-32 UNEF; UNEF
0.25; 0.1959; 0.1887;  1/4-20 UNC; UNC
0.25; 0.2113; 0.2062;  1/4-28 UNF; UNF
0.25; 0.2162; 0.2117;  1/4-32 UNEF; UNEF
0.3125; 0.2524; 0.2443;  5/16-18 UNC; UNC
0.3125; 0.2674; 0.2614;  5/16-24 UNF; UNF
0.3125; 0.2787; 0.2742;  5/16-32 UNEF; UNEF
0.375; 0.3073; 0.2983;  3/8-16 UNC; UNC
0.375; 0.3299; 0.3239;  3/8-24 UNF; UNF
0.375; 0.3412; 0.3367;  3/8-32 UNEF; UNEF
0.4375; 0.3602; 0.3499;  7/16-14 UNC; UNC
0.4375; 0.3834; 0.3762;  7/16-20 UNF; UNF
0.4375; 0.3988; 0.3937;  7/16-28 UNEF; UNEF
0.5; 0.4167; 0.4056;  1/2-13 UNC; UNC
0.5; 0.4459; 0.4387;  1/2-20 UNF; UNF
0.5; 0.4613; 0.4562;  1/2-28 UNEF; UNEF
0.5625; 0.4723; 0.4603;  9/16-12 UNC; UNC
0.5625; 0.5024; 0.4943;  9/16-18 UNF; UNF
0.5625; 0.5174; 0.5114;  9/16-24 UNEF; UNEF
0.625; 0.5266; 0.5135;  5/8-11 UNC; UNC
0.625; 0.5649; 0.5568;  5/8-18 UNF; UNF
0.625; 0.5799; 0.5739;  5/8-24 UNEF; UNEF
0.6875; 0.6424; 0.6364;  11/16-24 UNEF; UNEF
0.75; 0.6417; 0.6273;  3/4-10 UNC; UNC
0.75; 0.6823; 0.6733;  3/4-16 UNF; UNF
0.75; 0.6959; 0.6887;  3/4-20 UNEF; UNEF
0.8125; 0.7584; 0.7512;  13/16-20 UNEF; UNEF
0.875; 0.7547; 0.7387;  7/8-9 UNC; UNC
0.875; 0.7977; 0.7874;  7/8-14 UNF; UNF
0.875; 0.8209; 0.8137;  7/8-20 UNEF; UNEF
0.9375; 0.8834; 0.8762;  15/16-20 UNEF; UNEF
1; 0.8647; 0.8466;  1-8 UNC; UNC
1; 0.9098; 0.8978;  1-12 UNF; UNF
1; 0.9459; 0.9387;  1-20 UNEF; UNEF
1.0625; 1.0024; 0.9943;  1 1/16-18 UNEF; UNEF
1.125; 0.9704; 0.9497;  1 1/8-7 UNC; UNC
1.125; 1.0348; 1.0228;  1 1/8-12 UNF; UNF
1.125; 1.0649; 1.0568;  1 1/8-18 UNEF; UNEF
1.1875; 1.1274; 1.1193;  1 3/16-18 UNEF; UNEF
1.25; 1.0954; 1.0747;  1 1/4-7 UNC; UNC
1.25; 1.1598; 1.1478;  1 1/4-12 UNF; UNF
1.25; 1.1899; 1.1818;  1 1/4-18 UNEF; UNEF
1.3125; 1.2524; 1.2443;  1 5/16-18 UNEF; UNEF
1.375; 1.1946; 1.1705;  1 3/8-6 UNC; UNC
1.375; 1.2848; 1.2728;  1 3/8-12 UNF; UNF
1.375; 1.3149; 1.3068;  1 3/8-18 UNEF; UNEF
1.4375; 1.3774; 1.3693;  1 7/16-18 UNEF; UNEF
1.5; 1.3196; 1.2955;  1 1/2-6 UNC; UNC
1.5; 1.4098; 1.3978;  1 1/2-12 UNF; UNF
1.5; 1.4399; 1.4318;  1 1/2-18 UNEF; UNEF
1.5625; 1.5024; 1.4943;  1 9/16-18 UNEF; UNEF
1.625; 1.5649; 1.5568;  1 5/8-18 UNEF; UNEF
1.6875; 1.6274; 1.6193;  1 11/16-18 UNEF; UNEF
1.75; 1.5335; 1.5046;  1 3/4-5 UNC; UNC
2; 1.7594; 1.7274;  2-4.5 UNC; UNC
2.25; 2.0094; 1.9774;  2 1/4-4.5 UNC; UNC
2.5; 2.2294; 2.1933;  2 1/2-4 UNC; UNC
2.75; 2.4794; 2.4433;  2 3/4-4 UNC; UNC
3; 2.7294; 2.6933;  3-4 UNC; UNC
3.25; 2.9794; 2.9433;  3 1/4-4 UNC; UNC
3.5; 3.2294; 3.1933;  3 1/2-4 UNC; UNC
3.75; 3.4794; 3.4133;  3 3/4-4 UNC; UNC
4; 3.7294; 3.6933;  4-4 UNC; UNC
EndInch
\\ End of inch sizes.

\\ Beginning of metric sizes.
BeginMetric
0.25; 0.169; 0.159;  M.25; M
0.3; 0.213; 0.202;  M.3; M
0.35; 0.253; 0.24;  M.35; M
0.4; 0.292; 0.277;  M.4; M
0.45; 0.342; 0.327;  M.45; M
0.5; 0.365; 0.347;  M.5; M
0.55; 0.415; 0.397;  M.55; M
0.6; 0.438; 0.416;  M.6; M
0.7; 0.511; 0.485;  M.7; M
0.8; 0.583; 0.555;  M.8; M
0.9; 0.656; 0.624;  M.9; M
1; 0.729; 0.693;  M1; M
1; 0.783; 0.755;  M1 x 0.2; Mx0.2
1.1; 0.829; 0.793;  M1.1; M
1.1; 0.883; 0.855;  M1.1 x 0.2; Mx0.2
1.2; 0.929; 0.893;  M1.2; M
1.2; 0.983; 0.955;  M1.2 x 0.2; Mx0.2
1.4; 1.075; 1.032;  M1.4; M
1.4; 1.183; 1.155;  M1.4 x 0.2; Mx0.2
1.6; 1.221; 1.171;  M1.6; M
1.6; 1.383; 1.355;  M1.6 x 0.2; Mx0.2
1.8; 1.421; 1.371;  M1.8; M
1.8; 1.583; 1.555;  M1.8 x 0.2; Mx0.2
2; 1.567; 1.509;  M2; M
2; 1.729; 1.693;  M2 x 0.25; Mx0.25
2.2; 1.713; 1.648;  M2.2; M
2.2; 1.929; 1.893;  M2.2 x 0.25; Mx0.25
2.5; 2.013; 1.948;  M2.5; M
2.5; 2.121; 2.071;  M2.5 x 0.35; Mx0.35
3; 2.459; 2.387;  M3; M
3; 2.621; 2.571;  M3 x 0.35; Mx0.35
3.5; 2.85; 2.764;  M3.5; M
3.5; 3.121; 3.071;  M3.5 x 0.35; Mx0.35
4; 3.242; 3.141;  M4; M
4; 3.459; 3.387;  M4 x 0.5; Mx0.5
4.5; 3.688; 3.58;  M4.5; M
4.5; 3.959; 3.887;  M4.5 x 0.5; Mx0.5
5; 4.134; 4.019;  M5; M
5; 4.459; 4.387;  M5 x 0.5; Mx0.5
5.5; 4.959; 4.887;  M5.5; M
6; 4.917; 4.773;  M6; M
6; 5.188; 5.08;  M6 x 0.75; Mx0.75
6; 5.459; 5.387;  M6 x 0.5; Mx0.5
7; 5.917; 5.773;  M7; M
7; 6.188; 6.08;  M7 x 0.75; Mx0.75
7; 6.459; 6.387;  M7 x 0.5; Mx0.5
7.723; 6.561; 6.561;  G1/16; G1
8; 6; 5.5;  Tr 8 x 2; Trx2
8; 6.5; 6.2;  Tr 8 x 1.5; Trx1.5
8; 6.647; 6.466;  M8; M
8; 6.917; 6.773;  M8 x 1; Mx1
8; 7.188; 7.08;  M8 x 0.75; Mx0.75
8; 7.459; 7.387;  M8 x 0.5; Mx0.5
9; 7; 6.5;  Tr 9 x 2; Trx2
9; 7.5; 7.2;  Tr 9 x 1.5; Trx1.5
9; 7.647; 7.466;  M9; M
9; 7.917; 7.773;  M9 x 1; Mx1
9; 8.188; 8.08;  M9 x 0.75; Mx0.75
9; 8.459; 8.387;  M9 x 0.5; Mx0.5
9.728; 8.566; 8.566;  G1/8; G1
10; 8; 7.5;  Tr 10 x 2; Trx2
10; 8.5; 8.2;  Tr 10 x 1.5; Trx1.5
10; 8.376; 8.16;  M10; M
10; 8.647; 8.466;  M10 x 1.25; Mx1.25
10; 8.917; 8.773;  M10 x 1; Mx1
10; 9.188; 9.08;  M10 x 0.75; Mx0.75
10; 9.459; 9.387;  M10 x 0.5; Mx0.5
11; 8; 7.5;  Tr 11 x 3; Trx3
11; 9; 8.5;  Tr 11 x 2; Trx2
11; 9.376; 9.16;  M11; M
11; 9.917; 9.773;  M11 x 1; Mx1
11; 10.188; 10.08;  M11 x 0.75; Mx0.75
11; 10.459; 10.387;  M11 x 0.5; Mx0.5
12; 9; 8.5;  Tr 12 x 3; Trx3
12; 10; 9.5;  Tr 12 x 2; Trx2
12; 10.106; 9.853;  M12; M
12; 10.376; 10.16;  M12 x 1.5; Mx1.5
12; 10.647; 10.466;  M12 x 1.25; Mx1.25
12; 10.917; 10.773;  M12 x 1; Mx1
12; 11.188; 11.08;  M12 x 0.75; Mx0.75
12; 11.459; 11.387;  M12 x 0.5; Mx0.5
12.5; 11.89; 11.28;  Pg7; Pg
